"objectid","common_name","longitude","latitude"
415,"Yoshino Cherry",-76.9378265212769,38.8915927289214
416,"Cherry Spp.",-76.9495277308201,38.8895174362807
417,"Chokecherry",-76.9309029771906,38.8873729174262
418,"Cherry Spp.",-76.9261165001763,38.8903877956603
419,"Kwanzan Cherry",-76.9594429326452,38.8852783514148
420,"Yoshino Cherry",-76.9257588182148,38.8907298869748
421,"Yoshino Cherry",-76.9565715628273,38.8876465244676
422,"Chokecherry",-76.9420956174188,38.8864601469183
423,"Chokecherry",-76.9570116424733,38.8841874674777
424,"Cherry Spp.",-76.9458673273153,38.8828946344798
425,"Chokecherry",-76.9433531466304,38.8849563635454
426,"Cherry Spp.",-76.9463052872592,38.8829038453363
427,"Chokecherry",-76.9426949696971,38.8864604427952
428,"Okame Cherry",-76.9890061673007,38.8884378082583
429,"Kwanzan Cherry",-76.9597433763557,38.8839091812637
430,"Chokecherry",-76.924325414886,38.8837204441433
431,"Chokecherry",-76.922286480037,38.8827191740507
432,"Kwanzan Cherry",-76.959755354426,38.8831074383576
433,"Chokecherry",-76.9353669600172,38.8836640179801
434,"Yoshino Cherry",-76.9346806801692,38.8779252893207
435,"Cherry Spp.",-76.9379654728283,38.8776117865548
436,"Yoshino Cherry",-76.9310977397689,38.87666205481
437,"Yoshino Cherry",-76.9310865018405,38.8763647713172
438,"Kwanzan Cherry",-76.9619365746132,38.8776580926469
439,"Cherry Spp.",-76.9637682427102,38.8791180349694
440,"Chokecherry",-76.9412855440925,38.8764063775523
441,"Kwanzan Cherry",-76.963653017073,38.8790729573511
442,"Yoshino Cherry",-76.952076013797,38.8709792370023
443,"Cherry Spp.",-76.9457732447394,38.8702017569056
444,"Kwanzan Cherry",-76.978245554189,38.872113094144
445,"Yoshino Cherry",-76.9780496935385,38.8719779314365
446,"Chokecherry",-76.9378864476014,38.8757199807925
447,"Chokecherry",-76.9358575204082,38.8764485647495
448,"Snowgoose Cherry",-76.9711587040109,38.8715710547604
449,"Yoshino Cherry",-76.9391584262203,38.8706669348312
450,"Chokecherry",-76.9708713121613,38.869859385902
451,"Okame Cherry",-76.958956898542,38.8686306628749
452,"Chokecherry",-76.966307237489,38.8716328148026
453,"Cherry Spp.",-76.9685317042747,38.8707055697063
454,"Cherry Spp.",-76.9772900946621,38.8689509618175
455,"Chokecherry",-76.9767032033901,38.866527583881
456,"Chokecherry",-76.9763113175133,38.8668608159739
457,"Snowgoose Cherry",-76.9677133059243,38.8712188253886
458,"Yoshino Cherry",-76.9822910312061,38.8694472895608
